<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.04.12	24292	24565	24149	24460	17623	0	0
2018.04.13	24460	24660	24332	24437	16473	0	0
2018.04.16	24553	24674	24414	24666	13027	0	0
2018.04.17	24665	24860	24560	24782	13801	0	0
2018.04.18	24782	24847	24718	24747	11975	0	0
2018.04.19	24747	24814	24550	24611	12916	0	0
2018.04.20	24608	24719	24409	24483	14884	0	0
2018.04.23	24540	24555	24397	24467	11472	0	0
2018.04.24	24467	24636	23877	23907	16563	0	0
2018.04.25	23907	24085	23824	24060	21076	0	0
2018.04.26	24060	24372	23986	24353	16138	0	0
2018.04.27	24352	24402	24190	24312	13434	0	0
2018.04.30	24321	24501	24269	24330	10923	0	0
2018.05.01	24330	24331	23803	23959	14556	0	0
2018.05.02	23961	24167	23954	24092	14571	0	0
2018.05.03	24090	24188	23522	23917	17537	0	0
2018.05.04	23916	24275	23777	24274	18465	0	0
2018.05.07	24321	24481	24308	24434	11127	0	0
2018.05.08	24435	24456	24246	24286	14551	0	0
2018.05.09	24286	24580	24194	24569	14004	0	0
2018.05.10	24567	24795	24492	24724	11499	0	0
2018.05.11	24724	24868	24672	24783	11502	0	0
2018.05.14	24907	24994	24874	24904	8177	0	0
2018.05.15	24904	24931	24627	24632	12981	0	0
2018.05.16	24632	24794	24627	24787	12128	0	0
2018.05.17	24788	24841	24662	24677	10699	0	0
2018.05.18	24676	24805	24634	24721	12402	0	0
2018.05.21	24925	25084	24896	25036	8112	0	0
2018.05.22	25036	25072	24931	24944	8767	0	0
2018.05.23	24944	24961	24633	24724	12906	0	0
2018.05.24	24725	24890	24601	24810	13678	0	0
2018.05.25	24809	24914	24706	24720	12088	0	0
2018.05.28	24819	24848	24715	24782	7285	0	0
2018.05.29	24778	24784	24279	24324	14115	0	0
2018.05.30	24322	24702	24247	24681	15710	0	0
2018.05.31	24683	24714	24380	24388	13571	0	0
2018.06.01	24386	24676	24347	24644	12850	0	0
2018.06.04	24598	24861	24582	24796	9262	0	0
2018.06.05	24796	24857	24709	24785	9928	0	0
2018.06.06	24786	25043	24768	25020	9504	0	0
2018.06.07	25019	25322	25011	25180	11398	0	0
2018.06.08	25181	25322	25074	25275	13459	0	0
2018.06.11	25268	25405	25245	25382	9021	0	0
2018.06.12	25382	25390	25281	25324	11060	0	0
2018.06.13	25323	25364	25243	25310	8151	0	0
2018.06.14	25310	25334	25124	25179	11702	0	0
2018.06.15	25179	25202	24884	24950	12439	0	0
2018.06.18	25099	25127	24820	24951	9723	0	0
2018.06.19	24951	25004	24554	24682	16598	0	0
